device_id,model,battery_level,battery_status,cleaning_mode,noise_level,suction_power,navigation_type,carpet_detection,dust_container_status
V285,RoboSweep X150,21,25-50%,Standar,50,2000,Giroskop,Ada,35%
V286,RoboSweep X200,37,25-50%,Maksimal,55,2500,Giroskop,Ada,35%
V287,RoboSweep X150,38,<25% - Segera Isi Daya,Standar,68,2500,Giroskop,Ada,35%
V288,RoboSweep X200,64,50-75%,Karpet,68,2500,LiDAR + vSLAM,Ada,25%
V289,RoboSweep X200,83,25-50%,Karpet,55,2000,LiDAR + vSLAM,Tidak Ada,25%
V290,RoboSweep X150,49,>75%,Maksimal,50,2500,Giroskop,Tidak Ada,85%
V291,RoboSweep X150,35,25-50%,Senyap,68,2500,LiDAR + vSLAM,Tidak Ada,25%
V292,RoboSweep X150,51,>75%,Standar,65,2000,LiDAR + vSLAM,Ada,70%
V293,RoboSweep X200,78,>75%,Karpet,68,2000,LiDAR + vSLAM,Tidak Ada,10%
V294,RoboSweep X150,76,<25% - Segera Isi Daya,Standar,50,2500,LiDAR + vSLAM,Ada,80%
V295,RoboSweep X200,15,>75%,Karpet,65,2000,LiDAR + vSLAM,Ada,95%
V296,RoboSweep X200,47,25-50%,Standar,68,2500,LiDAR + vSLAM,Ada,35%
V297,RoboSweep X150,12,<25% - Segera Isi Daya,Senyap,68,2000,LiDAR + vSLAM,Tidak Ada,80%
V298,RoboSweep X200,83,25-50%,Senyap,68,2500,Giroskop,Ada,55%
V299,RoboSweep X200,70,>75%,Karpet,50,2500,Giroskop,Ada,90%
V300,RoboSweep X200,79,<25% - Segera Isi Daya,Senyap,68,2500,Giroskop,Tidak Ada,40%
V301,RoboSweep X150,15,50-75%,Senyap,68,2500,Giroskop,Tidak Ada,95%
V302,RoboSweep X200,61,>75%,Maksimal,68,2500,LiDAR + vSLAM,Tidak Ada,15%
V303,RoboSweep X200,65,<25% - Segera Isi Daya,Senyap,55,2000,LiDAR + vSLAM,Ada,30%
V304,RoboSweep X150,13,25-50%,Maksimal,68,2500,Giroskop,Tidak Ada,55%
V305,RoboSweep X150,81,<25% - Segera Isi Daya,Senyap,50,2500,Giroskop,Ada,25%
V306,RoboSweep X200,83,<25% - Segera Isi Daya,Maksimal,68,2000,LiDAR + vSLAM,Ada,55%
V307,RoboSweep X200,93,25-50%,Karpet,55,2500,LiDAR + vSLAM,Tidak Ada,40%
V308,RoboSweep X200,58,>75%,Senyap,65,2500,LiDAR + vSLAM,Tidak Ada,45%
V309,RoboSweep X200,28,25-50%,Standar,55,2000,Giroskop,Tidak Ada,70%
V310,RoboSweep X150,88,25-50%,Senyap,50,2000,LiDAR + vSLAM,Ada,30%
V311,RoboSweep X150,10,<25% - Segera Isi Daya,Maksimal,68,2000,LiDAR + vSLAM,Tidak Ada,50%
V312,RoboSweep X200,34,<25% - Segera Isi Daya,Standar,65,2500,Giroskop,Tidak Ada,20%
V313,RoboSweep X200,44,<25% - Segera Isi Daya,Standar,55,2500,LiDAR + vSLAM,Ada,60%
V314,RoboSweep X200,52,25-50%,Maksimal,55,2000,LiDAR + vSLAM,Tidak Ada,75%
V315,RoboSweep X150,82,>75%,Maksimal,50,2500,Giroskop,Tidak Ada,95%
V316,RoboSweep X150,21,<25% - Segera Isi Daya,Karpet,55,2000,Giroskop,Tidak Ada,75%
V317,RoboSweep X150,95,>75%,Senyap,50,2500,LiDAR + vSLAM,Ada,95%
V318,RoboSweep X150,84,<25% - Segera Isi Daya,Senyap,65,2500,Giroskop,Tidak Ada,90%
V319,RoboSweep X200,23,25-50%,Maksimal,68,2000,Giroskop,Tidak Ada,60%
V320,RoboSweep X200,68,<25% - Segera Isi Daya,Standar,68,2500,Giroskop,Ada,95%
V321,RoboSweep X200,23,25-50%,Karpet,55,2500,LiDAR + vSLAM,Tidak Ada,95%
V322,RoboSweep X150,49,25-50%,Senyap,55,2000,LiDAR + vSLAM,Tidak Ada,60%
V323,RoboSweep X200,37,50-75%,Standar,55,2500,Giroskop,Ada,65%
V324,RoboSweep X200,25,<25% - Segera Isi Daya,Karpet,68,2500,Giroskop,Ada,100%
V325,RoboSweep X150,67,50-75%,Senyap,65,2000,Giroskop,Ada,60%
V326,RoboSweep X150,97,25-50%,Karpet,55,2500,LiDAR + vSLAM,Tidak Ada,15%
V327,RoboSweep X150,18,25-50%,Karpet,68,2000,LiDAR + vSLAM,Tidak Ada,25%
V328,RoboSweep X150,68,25-50%,Senyap,65,2000,LiDAR + vSLAM,Tidak Ada,70%
V329,RoboSweep X200,56,<25% - Segera Isi Daya,Standar,68,2000,Giroskop,Tidak Ada,55%
V330,RoboSweep X150,51,25-50%,Maksimal,68,2500,LiDAR + vSLAM,Ada,85%
V331,RoboSweep X200,42,<25% - Segera Isi Daya,Maksimal,50,2000,LiDAR + vSLAM,Tidak Ada,25%
V332,RoboSweep X200,52,>75%,Karpet,50,2000,LiDAR + vSLAM,Ada,35%
V333,RoboSweep X200,72,50-75%,Karpet,65,2000,Giroskop,Tidak Ada,10%
V334,RoboSweep X150,22,25-50%,Standar,50,2500,LiDAR + vSLAM,Tidak Ada,10%
V335,RoboSweep X200,71,<25% - Segera Isi Daya,Maksimal,68,2000,Giroskop,Tidak Ada,35%
V336,RoboSweep X150,29,25-50%,Karpet,68,2500,Giroskop,Ada,10%
V337,RoboSweep X200,83,25-50%,Standar,50,2000,LiDAR + vSLAM,Ada,75%
V338,RoboSweep X150,57,<25% - Segera Isi Daya,Senyap,55,2500,LiDAR + vSLAM,Ada,35%
V339,RoboSweep X200,71,<25% - Segera Isi Daya,Standar,65,2000,LiDAR + vSLAM,Tidak Ada,40%
V340,RoboSweep X200,78,<25% - Segera Isi Daya,Karpet,55,2500,LiDAR + vSLAM,Tidak Ada,10%
V341,RoboSweep X150,54,<25% - Segera Isi Daya,Karpet,68,2500,Giroskop,Tidak Ada,35%
V342,RoboSweep X150,60,>75%,Karpet,65,2000,Giroskop,Tidak Ada,100%
V343,RoboSweep X200,38,50-75%,Maksimal,55,2500,LiDAR + vSLAM,Ada,50%
V344,RoboSweep X200,71,25-50%,Maksimal,65,2000,LiDAR + vSLAM,Ada,35%
V345,RoboSweep X150,29,<25% - Segera Isi Daya,Senyap,50,2500,LiDAR + vSLAM,Ada,60%
V346,RoboSweep X200,39,50-75%,Maksimal,65,2000,LiDAR + vSLAM,Tidak Ada,25%
V347,RoboSweep X200,19,<25% - Segera Isi Daya,Maksimal,68,2000,Giroskop,Ada,15%
V348,RoboSweep X150,39,<25% - Segera Isi Daya,Senyap,50,2500,LiDAR + vSLAM,Ada,15%
V349,RoboSweep X200,62,<25% - Segera Isi Daya,Standar,65,2500,LiDAR + vSLAM,Tidak Ada,50%
V350,RoboSweep X200,43,<25% - Segera Isi Daya,Maksimal,55,2000,LiDAR + vSLAM,Tidak Ada,40%
V351,RoboSweep X150,44,50-75%,Standar,68,2500,LiDAR + vSLAM,Ada,85%
V352,RoboSweep X200,33,>75%,Senyap,65,2500,LiDAR + vSLAM,Ada,20%
V353,RoboSweep X200,99,25-50%,Karpet,65,2500,Giroskop,Ada,60%
V354,RoboSweep X200,34,50-75%,Standar,65,2000,LiDAR + vSLAM,Tidak Ada,20%
V355,RoboSweep X150,97,<25% - Segera Isi Daya,Maksimal,65,2500,LiDAR + vSLAM,Tidak Ada,85%
V356,RoboSweep X200,73,50-75%,Karpet,68,2500,Giroskop,Tidak Ada,55%
V357,RoboSweep X200,95,25-50%,Maksimal,55,2500,Giroskop,Ada,30%
V358,RoboSweep X150,63,>75%,Karpet,55,2000,Giroskop,Ada,25%
V359,RoboSweep X200,55,<25% - Segera Isi Daya,Karpet,50,2000,Giroskop,Tidak Ada,95%
V360,RoboSweep X150,12,50-75%,Maksimal,65,2500,LiDAR + vSLAM,Tidak Ada,95%
V361,RoboSweep X200,70,>75%,Senyap,65,2500,Giroskop,Ada,60%
V362,RoboSweep X150,11,<25% - Segera Isi Daya,Maksimal,55,2500,LiDAR + vSLAM,Tidak Ada,75%
V363,RoboSweep X150,18,25-50%,Karpet,55,2500,LiDAR + vSLAM,Tidak Ada,65%
V364,RoboSweep X200,100,>75%,Standar,65,2500,LiDAR + vSLAM,Tidak Ada,40%
V365,RoboSweep X200,25,>75%,Standar,55,2000,Giroskop,Tidak Ada,45%
V366,RoboSweep X150,14,25-50%,Karpet,65,2000,LiDAR + vSLAM,Ada,20%
V367,RoboSweep X200,31,50-75%,Maksimal,68,2000,Giroskop,Ada,55%
V368,RoboSweep X150,25,50-75%,Maksimal,55,2000,LiDAR + vSLAM,Ada,70%
V369,RoboSweep X150,65,50-75%,Karpet,55,2500,LiDAR + vSLAM,Tidak Ada,40%
V370,RoboSweep X150,93,25-50%,Maksimal,68,2000,Giroskop,Tidak Ada,60%
V371,RoboSweep X150,69,<25% - Segera Isi Daya,Maksimal,55,2500,Giroskop,Ada,65%
V372,RoboSweep X150,64,25-50%,Maksimal,68,2500,LiDAR + vSLAM,Tidak Ada,40%
V373,RoboSweep X200,40,>75%,Karpet,50,2000,Giroskop,Ada,10%
V374,RoboSweep X200,19,>75%,Standar,65,2000,Giroskop,Ada,35%
V375,RoboSweep X200,53,25-50%,Standar,50,2500,Giroskop,Ada,30%
V376,RoboSweep X200,45,<25% - Segera Isi Daya,Senyap,55,2000,LiDAR + vSLAM,Ada,30%
V377,RoboSweep X200,24,<25% - Segera Isi Daya,Karpet,65,2000,Giroskop,Tidak Ada,10%
V378,RoboSweep X150,35,50-75%,Standar,50,2500,LiDAR + vSLAM,Ada,40%
V379,RoboSweep X150,47,<25% - Segera Isi Daya,Karpet,50,2500,Giroskop,Ada,10%
V380,RoboSweep X150,36,25-50%,Standar,68,2000,Giroskop,Tidak Ada,85%
V381,RoboSweep X150,94,50-75%,Senyap,50,2000,LiDAR + vSLAM,Tidak Ada,15%
V382,RoboSweep X200,74,>75%,Karpet,68,2500,Giroskop,Ada,45%
V383,RoboSweep X200,77,25-50%,Karpet,50,2500,Giroskop,Tidak Ada,100%
V384,RoboSweep X200,82,50-75%,Karpet,65,2500,LiDAR + vSLAM,Tidak Ada,25%
V385,RoboSweep X200,78,50-75%,Standar,68,2000,Giroskop,Tidak Ada,80%
V386,RoboSweep X150,43,<25% - Segera Isi Daya,Maksimal,50,2000,LiDAR + vSLAM,Ada,95%
V387,RoboSweep X200,60,25-50%,Standar,65,2000,LiDAR + vSLAM,Tidak Ada,90%
V388,RoboSweep X150,87,25-50%,Standar,50,2500,Giroskop,Ada,95%
V389,RoboSweep X200,56,<25% - Segera Isi Daya,Senyap,50,2000,Giroskop,Ada,60%
V390,RoboSweep X200,60,25-50%,Maksimal,68,2000,LiDAR + vSLAM,Ada,100%
V391,RoboSweep X150,29,25-50%,Maksimal,65,2000,Giroskop,Ada,20%
V392,RoboSweep X200,78,25-50%,Karpet,55,2000,LiDAR + vSLAM,Ada,100%
V393,RoboSweep X200,10,50-75%,Senyap,55,2000,LiDAR + vSLAM,Tidak Ada,95%
V394,RoboSweep X150,66,25-50%,Karpet,65,2500,LiDAR + vSLAM,Ada,65%
V395,RoboSweep X150,77,25-50%,Maksimal,68,2000,LiDAR + vSLAM,Ada,85%
V396,RoboSweep X150,68,25-50%,Standar,55,2500,Giroskop,Tidak Ada,25%
V397,RoboSweep X200,38,50-75%,Karpet,65,2500,Giroskop,Ada,80%
V398,RoboSweep X150,40,25-50%,Standar,65,2500,LiDAR + vSLAM,Tidak Ada,35%
V399,RoboSweep X200,84,25-50%,Karpet,50,2500,LiDAR + vSLAM,Ada,45%
V400,RoboSweep X200,74,50-75%,Senyap,65,2500,LiDAR + vSLAM,Ada,40%
V401,RoboSweep X200,13,>75%,Senyap,65,2500,Giroskop,Tidak Ada,75%
V402,RoboSweep X200,14,<25% - Segera Isi Daya,Karpet,55,2000,LiDAR + vSLAM,Tidak Ada,95%
V403,RoboSweep X200,87,<25% - Segera Isi Daya,Maksimal,55,2000,Giroskop,Tidak Ada,95%
V404,RoboSweep X150,64,<25% - Segera Isi Daya,Maksimal,65,2000,Giroskop,Tidak Ada,35%
V405,RoboSweep X200,84,>75%,Standar,50,2500,LiDAR + vSLAM,Tidak Ada,30%
V406,RoboSweep X200,29,>75%,Standar,65,2500,Giroskop,Tidak Ada,100%
V407,RoboSweep X200,55,<25% - Segera Isi Daya,Standar,65,2500,Giroskop,Ada,10%
V408,RoboSweep X200,77,<25% - Segera Isi Daya,Standar,50,2000,LiDAR + vSLAM,Tidak Ada,20%
V409,RoboSweep X200,89,50-75%,Standar,50,2500,LiDAR + vSLAM,Ada,65%
V410,RoboSweep X200,83,<25% - Segera Isi Daya,Standar,55,2500,Giroskop,Tidak Ada,90%
V411,RoboSweep X150,34,>75%,Karpet,68,2500,Giroskop,Tidak Ada,40%
V412,RoboSweep X150,88,25-50%,Maksimal,50,2500,LiDAR + vSLAM,Ada,95%
V413,RoboSweep X150,83,<25% - Segera Isi Daya,Standar,68,2500,LiDAR + vSLAM,Ada,10%
V414,RoboSweep X150,34,50-75%,Maksimal,55,2000,LiDAR + vSLAM,Ada,90%
V415,RoboSweep X150,57,>75%,Senyap,55,2000,Giroskop,Tidak Ada,35%
V416,RoboSweep X200,30,50-75%,Maksimal,65,2500,Giroskop,Ada,100%
V417,RoboSweep X200,97,<25% - Segera Isi Daya,Maksimal,50,2000,Giroskop,Ada,10%
V418,RoboSweep X150,12,25-50%,Maksimal,65,2000,LiDAR + vSLAM,Tidak Ada,55%
V419,RoboSweep X150,18,50-75%,Senyap,68,2500,Giroskop,Ada,10%
V420,RoboSweep X200,29,>75%,Senyap,50,2500,Giroskop,Ada,10%
V421,RoboSweep X150,38,<25% - Segera Isi Daya,Senyap,65,2500,LiDAR + vSLAM,Ada,90%
V422,RoboSweep X200,15,25-50%,Senyap,50,2000,Giroskop,Ada,65%
V423,RoboSweep X150,66,<25% - Segera Isi Daya,Maksimal,65,2500,LiDAR + vSLAM,Tidak Ada,80%
V424,RoboSweep X150,27,25-50%,Standar,55,2000,Giroskop,Ada,25%
V425,RoboSweep X150,25,>75%,Maksimal,55,2000,Giroskop,Ada,40%
V426,RoboSweep X150,99,>75%,Maksimal,65,2500,Giroskop,Ada,60%
V427,RoboSweep X200,75,50-75%,Standar,55,2500,LiDAR + vSLAM,Ada,25%
V428,RoboSweep X200,25,<25% - Segera Isi Daya,Senyap,50,2000,Giroskop,Ada,35%
V429,RoboSweep X200,22,<25% - Segera Isi Daya,Karpet,65,2000,LiDAR + vSLAM,Ada,80%
V430,RoboSweep X150,32,50-75%,Senyap,68,2000,Giroskop,Ada,50%
V431,RoboSweep X150,26,<25% - Segera Isi Daya,Senyap,55,2000,Giroskop,Ada,90%
V432,RoboSweep X150,27,50-75%,Senyap,65,2000,LiDAR + vSLAM,Ada,45%
V433,RoboSweep X150,31,>75%,Senyap,50,2500,LiDAR + vSLAM,Tidak Ada,45%
V434,RoboSweep X200,62,25-50%,Maksimal,65,2500,Giroskop,Ada,15%
V435,RoboSweep X150,46,>75%,Karpet,50,2500,Giroskop,Ada,30%
V436,RoboSweep X200,28,25-50%,Standar,68,2500,Giroskop,Tidak Ada,35%
V437,RoboSweep X150,87,<25% - Segera Isi Daya,Standar,68,2000,Giroskop,Tidak Ada,45%
V438,RoboSweep X150,83,<25% - Segera Isi Daya,Senyap,68,2000,LiDAR + vSLAM,Tidak Ada,55%
V439,RoboSweep X150,69,50-75%,Senyap,65,2500,LiDAR + vSLAM,Ada,25%
V440,RoboSweep X200,31,50-75%,Karpet,50,2000,Giroskop,Ada,85%
V441,RoboSweep X150,91,<25% - Segera Isi Daya,Senyap,50,2500,Giroskop,Tidak Ada,30%
V442,RoboSweep X150,65,<25% - Segera Isi Daya,Standar,50,2500,Giroskop,Ada,70%
V443,RoboSweep X150,73,25-50%,Senyap,65,2000,Giroskop,Ada,10%
V444,RoboSweep X150,29,25-50%,Maksimal,50,2000,Giroskop,Ada,85%
V445,RoboSweep X150,84,25-50%,Senyap,65,2500,LiDAR + vSLAM,Tidak Ada,100%
V446,RoboSweep X200,32,50-75%,Maksimal,68,2000,Giroskop,Tidak Ada,95%
V447,RoboSweep X150,69,50-75%,Karpet,50,2000,LiDAR + vSLAM,Ada,55%
V448,RoboSweep X200,28,>75%,Standar,65,2500,LiDAR + vSLAM,Tidak Ada,85%
V449,RoboSweep X150,81,25-50%,Maksimal,50,2500,Giroskop,Ada,80%
V450,RoboSweep X200,48,<25% - Segera Isi Daya,Senyap,50,2000,LiDAR + vSLAM,Tidak Ada,95%
V451,RoboSweep X200,54,50-75%,Maksimal,68,2000,Giroskop,Ada,55%
V452,RoboSweep X200,30,50-75%,Karpet,55,2500,Giroskop,Tidak Ada,85%
V453,RoboSweep X150,82,<25% - Segera Isi Daya,Maksimal,65,2000,LiDAR + vSLAM,Ada,35%
V454,RoboSweep X200,72,<25% - Segera Isi Daya,Standar,55,2000,LiDAR + vSLAM,Tidak Ada,45%
V455,RoboSweep X200,18,<25% - Segera Isi Daya,Senyap,50,2000,Giroskop,Ada,50%
V456,RoboSweep X200,100,50-75%,Standar,68,2500,Giroskop,Ada,15%
V457,RoboSweep X150,43,25-50%,Standar,55,2500,Giroskop,Ada,80%
V458,RoboSweep X150,32,25-50%,Standar,50,2500,LiDAR + vSLAM,Ada,90%
V459,RoboSweep X200,86,<25% - Segera Isi Daya,Senyap,68,2000,LiDAR + vSLAM,Ada,60%
V460,RoboSweep X200,84,>75%,Senyap,65,2500,Giroskop,Tidak Ada,45%
V461,RoboSweep X200,75,25-50%,Karpet,50,2500,Giroskop,Ada,40%
V462,RoboSweep X200,26,>75%,Maksimal,65,2000,Giroskop,Tidak Ada,95%
V463,RoboSweep X200,42,<25% - Segera Isi Daya,Maksimal,55,2000,LiDAR + vSLAM,Ada,35%
V464,RoboSweep X150,43,<25% - Segera Isi Daya,Standar,65,2000,Giroskop,Ada,100%
V465,RoboSweep X200,33,<25% - Segera Isi Daya,Karpet,68,2500,Giroskop,Ada,35%
V466,RoboSweep X200,15,>75%,Senyap,50,2000,LiDAR + vSLAM,Tidak Ada,55%
V467,RoboSweep X200,82,>75%,Senyap,68,2000,LiDAR + vSLAM,Ada,55%
V468,RoboSweep X150,72,50-75%,Maksimal,55,2000,LiDAR + vSLAM,Ada,100%
V469,RoboSweep X150,83,<25% - Segera Isi Daya,Standar,68,2000,LiDAR + vSLAM,Ada,60%
V470,RoboSweep X200,20,>75%,Standar,65,2000,Giroskop,Tidak Ada,70%
V471,RoboSweep X150,75,50-75%,Karpet,65,2500,Giroskop,Ada,25%
V472,RoboSweep X150,68,<25% - Segera Isi Daya,Senyap,65,2000,Giroskop,Ada,85%
V473,RoboSweep X200,18,25-50%,Maksimal,68,2500,Giroskop,Ada,40%
V474,RoboSweep X200,13,25-50%,Standar,65,2500,LiDAR + vSLAM,Tidak Ada,50%
V475,RoboSweep X150,37,25-50%,Maksimal,55,2500,LiDAR + vSLAM,Ada,15%
V476,RoboSweep X200,63,25-50%,Senyap,55,2500,Giroskop,Tidak Ada,70%
V477,RoboSweep X150,58,>75%,Standar,65,2500,LiDAR + vSLAM,Tidak Ada,65%
V478,RoboSweep X150,59,>75%,Senyap,50,2500,LiDAR + vSLAM,Tidak Ada,75%
V479,RoboSweep X150,87,>75%,Senyap,68,2000,LiDAR + vSLAM,Tidak Ada,75%
V480,RoboSweep X200,97,50-75%,Senyap,65,2000,Giroskop,Tidak Ada,60%
V481,RoboSweep X150,80,25-50%,Karpet,55,2500,LiDAR + vSLAM,Tidak Ada,55%
V482,RoboSweep X200,85,<25% - Segera Isi Daya,Karpet,65,2000,LiDAR + vSLAM,Ada,30%
V483,RoboSweep X200,38,50-75%,Maksimal,65,2000,LiDAR + vSLAM,Ada,15%
V484,RoboSweep X200,80,<25% - Segera Isi Daya,Senyap,55,2000,LiDAR + vSLAM,Tidak Ada,30%
V485,RoboSweep X200,66,50-75%,Karpet,55,2500,LiDAR + vSLAM,Ada,80%
V486,RoboSweep X150,68,>75%,Standar,65,2000,LiDAR + vSLAM,Ada,60%
V487,RoboSweep X200,25,<25% - Segera Isi Daya,Senyap,68,2500,LiDAR + vSLAM,Ada,80%
V488,RoboSweep X200,53,50-75%,Karpet,55,2000,Giroskop,Tidak Ada,45%
V489,RoboSweep X200,35,<25% - Segera Isi Daya,Karpet,68,2000,LiDAR + vSLAM,Ada,35%
V490,RoboSweep X150,86,50-75%,Karpet,65,2000,Giroskop,Tidak Ada,25%
V491,RoboSweep X200,32,25-50%,Standar,65,2500,Giroskop,Ada,40%
V492,RoboSweep X200,53,<25% - Segera Isi Daya,Karpet,50,2500,LiDAR + vSLAM,Ada,100%
V493,RoboSweep X150,27,50-75%,Standar,68,2000,Giroskop,Ada,35%
V494,RoboSweep X200,81,25-50%,Maksimal,55,2000,Giroskop,Tidak Ada,60%
V495,RoboSweep X150,37,50-75%,Karpet,68,2500,LiDAR + vSLAM,Tidak Ada,70%
V496,RoboSweep X200,85,50-75%,Maksimal,68,2000,LiDAR + vSLAM,Ada,75%
V497,RoboSweep X150,53,>75%,Karpet,68,2500,LiDAR + vSLAM,Ada,55%
V498,RoboSweep X200,53,25-50%,Senyap,68,2000,Giroskop,Tidak Ada,45%
V499,RoboSweep X150,15,>75%,Senyap,65,2500,Giroskop,Tidak Ada,90%
V500,RoboSweep X150,29,>75%,Standar,55,2000,Giroskop,Tidak Ada,75%
V501,RoboSweep X150,52,25-50%,Senyap,68,2000,Giroskop,Ada,20%
V502,RoboSweep X200,48,25-50%,Maksimal,50,2000,Giroskop,Ada,85%
V503,RoboSweep X200,35,25-50%,Karpet,55,2000,LiDAR + vSLAM,Tidak Ada,100%
V504,RoboSweep X200,77,25-50%,Senyap,55,2000,LiDAR + vSLAM,Ada,50%
V505,RoboSweep X200,28,50-75%,Standar,50,2500,Giroskop,Tidak Ada,75%
V506,RoboSweep X150,20,50-75%,Senyap,55,2000,LiDAR + vSLAM,Tidak Ada,20%
V507,RoboSweep X150,58,50-75%,Standar,65,2500,LiDAR + vSLAM,Tidak Ada,40%
V508,RoboSweep X200,95,>75%,Standar,50,2500,LiDAR + vSLAM,Ada,40%
V509,RoboSweep X200,19,25-50%,Standar,55,2000,Giroskop,Tidak Ada,90%
V510,RoboSweep X200,30,<25% - Segera Isi Daya,Senyap,65,2000,LiDAR + vSLAM,Ada,95%
V511,RoboSweep X150,14,>75%,Standar,65,2500,LiDAR + vSLAM,Ada,25%
V512,RoboSweep X200,27,<25% - Segera Isi Daya,Karpet,55,2000,LiDAR + vSLAM,Tidak Ada,10%
V513,RoboSweep X150,97,50-75%,Karpet,65,2000,Giroskop,Ada,15%
V514,RoboSweep X150,44,<25% - Segera Isi Daya,Senyap,55,2500,Giroskop,Tidak Ada,60%
V515,RoboSweep X200,60,>75%,Standar,50,2000,LiDAR + vSLAM,Ada,60%
V516,RoboSweep X200,26,<25% - Segera Isi Daya,Senyap,55,2500,LiDAR + vSLAM,Ada,70%
V517,RoboSweep X200,94,50-75%,Maksimal,55,2500,LiDAR + vSLAM,Ada,80%
V518,RoboSweep X200,55,>75%,Senyap,68,2500,LiDAR + vSLAM,Tidak Ada,85%
V519,RoboSweep X200,90,25-50%,Karpet,55,2500,LiDAR + vSLAM,Ada,10%
V520,RoboSweep X150,55,>75%,Maksimal,50,2500,Giroskop,Ada,65%
V521,RoboSweep X200,93,25-50%,Karpet,68,2500,LiDAR + vSLAM,Tidak Ada,40%
V522,RoboSweep X200,83,>75%,Senyap,55,2500,LiDAR + vSLAM,Ada,20%
V523,RoboSweep X200,15,25-50%,Karpet,68,2000,Giroskop,Ada,95%
V524,RoboSweep X150,73,50-75%,Senyap,68,2500,Giroskop,Ada,100%
V525,RoboSweep X200,10,50-75%,Senyap,68,2500,LiDAR + vSLAM,Tidak Ada,60%
V526,RoboSweep X200,34,>75%,Maksimal,50,2500,LiDAR + vSLAM,Ada,80%
V527,RoboSweep X200,100,50-75%,Senyap,65,2500,Giroskop,Ada,75%
V528,RoboSweep X150,23,50-75%,Maksimal,65,2500,LiDAR + vSLAM,Ada,10%
V529,RoboSweep X200,10,>75%,Standar,68,2500,LiDAR + vSLAM,Tidak Ada,65%
V530,RoboSweep X150,43,25-50%,Maksimal,68,2500,Giroskop,Ada,50%
V531,RoboSweep X200,93,50-75%,Senyap,68,2000,LiDAR + vSLAM,Tidak Ada,15%
V532,RoboSweep X150,62,<25% - Segera Isi Daya,Maksimal,50,2000,Giroskop,Tidak Ada,50%
V533,RoboSweep X200,88,50-75%,Standar,65,2000,Giroskop,Tidak Ada,55%
V534,RoboSweep X200,82,>75%,Standar,55,2500,Giroskop,Ada,15%
V535,RoboSweep X150,71,50-75%,Senyap,65,2000,Giroskop,Ada,50%
V536,RoboSweep X150,69,25-50%,Maksimal,50,2000,Giroskop,Tidak Ada,100%
V537,RoboSweep X200,79,50-75%,Standar,65,2000,LiDAR + vSLAM,Tidak Ada,95%
V538,RoboSweep X150,75,25-50%,Standar,65,2500,Giroskop,Tidak Ada,90%
V539,RoboSweep X150,96,>75%,Standar,50,2000,LiDAR + vSLAM,Tidak Ada,45%
V540,RoboSweep X200,24,>75%,Standar,65,2500,LiDAR + vSLAM,Ada,85%
V541,RoboSweep X200,73,>75%,Karpet,65,2500,LiDAR + vSLAM,Ada,80%
V542,RoboSweep X200,37,<25% - Segera Isi Daya,Maksimal,50,2000,Giroskop,Tidak Ada,55%
V543,RoboSweep X150,76,>75%,Standar,50,2000,LiDAR + vSLAM,Ada,100%
V544,RoboSweep X200,27,25-50%,Karpet,50,2500,LiDAR + vSLAM,Ada,65%
V545,RoboSweep X200,60,25-50%,Maksimal,68,2000,Giroskop,Tidak Ada,70%
V546,RoboSweep X200,62,<25% - Segera Isi Daya,Standar,68,2500,Giroskop,Ada,85%
V547,RoboSweep X200,78,50-75%,Maksimal,50,2000,LiDAR + vSLAM,Tidak Ada,35%
V548,RoboSweep X200,60,>75%,Maksimal,68,2500,Giroskop,Ada,85%
V549,RoboSweep X150,25,<25% - Segera Isi Daya,Standar,68,2500,Giroskop,Tidak Ada,95%
V550,RoboSweep X200,83,>75%,Karpet,65,2500,LiDAR + vSLAM,Tidak Ada,90%
V551,RoboSweep X150,75,50-75%,Standar,65,2000,Giroskop,Ada,100%
V552,RoboSweep X200,29,>75%,Maksimal,50,2500,LiDAR + vSLAM,Tidak Ada,65%
V553,RoboSweep X200,37,25-50%,Maksimal,65,2500,LiDAR + vSLAM,Ada,75%
V554,RoboSweep X200,70,25-50%,Senyap,68,2500,Giroskop,Ada,100%
V555,RoboSweep X200,29,50-75%,Standar,65,2000,Giroskop,Ada,10%
V556,RoboSweep X150,73,<25% - Segera Isi Daya,Karpet,50,2500,Giroskop,Tidak Ada,30%
V557,RoboSweep X150,72,>75%,Standar,55,2500,Giroskop,Ada,35%
V558,RoboSweep X150,95,25-50%,Standar,55,2500,Giroskop,Ada,15%
V559,RoboSweep X150,51,50-75%,Standar,68,2000,Giroskop,Tidak Ada,50%
V560,RoboSweep X150,99,25-50%,Karpet,50,2000,Giroskop,Ada,65%
V561,RoboSweep X150,20,50-75%,Maksimal,68,2000,Giroskop,Ada,40%
V562,RoboSweep X150,79,>75%,Standar,68,2500,LiDAR + vSLAM,Ada,95%
V563,RoboSweep X200,21,25-50%,Maksimal,68,2500,LiDAR + vSLAM,Ada,60%
V564,RoboSweep X200,54,>75%,Standar,50,2500,LiDAR + vSLAM,Tidak Ada,15%
V565,RoboSweep X150,28,50-75%,Karpet,55,2000,LiDAR + vSLAM,Tidak Ada,45%
V566,RoboSweep X150,83,25-50%,Standar,55,2000,Giroskop,Ada,45%
V567,RoboSweep X200,93,>75%,Standar,68,2000,LiDAR + vSLAM,Ada,15%
V568,RoboSweep X200,88,25-50%,Senyap,55,2000,Giroskop,Ada,40%
